"suite","data_regime","method","n","dmax","completed_seeds","completion_count","final_accuracy_mean","normalized_auc_mean","rounds_completed_mean","model_bytes_mean","control_bytes_mean","candidate_packets_mean","committed_transactions_mean","final_edges_mean","final_mean_degree_mean","final_clustering_mean","final_spectral_gap_mean"
"workshop_degree_sweep","degree_sweep","static_random","100","4","42;43;44","3","0.672514","0.558709","300.000000","","","","","150.000000","3.000000","0.018889","0.076546"
"workshop_degree_sweep","degree_sweep","static_random","100","7","42;43;44","3","0.666227","0.554781","300.000000","","","","","150.000000","3.000000","0.029159","0.075195"
"workshop_degree_sweep","degree_sweep","static_random","100","8","42;43;44","3","0.666227","0.554781","300.000000","","","","","150.000000","3.000000","0.029159","0.075195"
"workshop_degree_sweep","degree_sweep","static_random","200","4","42;43;44","3","0.604566","0.481211","300.000000","","","","","300.000000","3.000000","0.011111","0.070817"
"workshop_degree_sweep","degree_sweep","static_random","200","8","42;43;44","3","0.598652","0.474767","300.000000","","","","","300.000000","3.000000","0.010802","0.061565"
"workshop_degree_sweep","degree_sweep","static_random","500","4","42;43;44","3","0.505104","0.400214","300.000000","","","","","750.000000","3.000000","0.002500","0.054047"
"workshop_degree_sweep","degree_sweep","static_random","500","8","42;43;44","3","0.497793","0.393475","300.000000","","","","","750.000000","3.000000","0.001633","0.051724"
"workshop_degree_sweep","degree_sweep","static_random","500","9","42;43;44","3","0.497793","0.393475","300.000000","","","","","750.000000","3.000000","0.001633","0.051724"
