method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,output_dir
static_random,1000,42,300,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,25,50,true,sequential,outputs/n1000/static_random_n1000_seed42_dmax4
random_fof,1000,42,300,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,25,50,true,sequential,outputs/n1000/random_fof_n1000_seed42_dmax4
lfhe,1000,42,300,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,25,50,true,sequential,outputs/n1000/lfhe_n1000_seed42_dmax4
