method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,output_dir
dissdl,25,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/dissdl_n25_seed42_dmax4
dissdl,25,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/dissdl_n25_seed43_dmax4
dissdl,25,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/dissdl_n25_seed44_dmax4
dissdl,50,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n50_seed42_dmax4
dissdl,50,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n50_seed43_dmax4
dissdl,50,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n50_seed44_dmax4
dissdl,100,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n100_seed42_dmax4
dissdl,100,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n100_seed43_dmax4
dissdl,100,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n100_seed44_dmax4
dissdl,200,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n200_seed42_dmax4
dissdl,200,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n200_seed43_dmax4
dissdl,200,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n200_seed44_dmax4
dissdl,500,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n500_seed42_dmax4
dissdl,500,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n500_seed43_dmax4
dissdl,500,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/dissdl_n500_seed44_dmax4
random_fof,25,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/random_fof_n25_seed42_dmax4
random_fof,25,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/random_fof_n25_seed43_dmax4
random_fof,25,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/random_fof_n25_seed44_dmax4
random_fof,50,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n50_seed42_dmax4
random_fof,50,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n50_seed43_dmax4
random_fof,50,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n50_seed44_dmax4
random_fof,100,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n100_seed42_dmax4
random_fof,100,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n100_seed43_dmax4
random_fof,100,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n100_seed44_dmax4
random_fof,200,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n200_seed42_dmax4
random_fof,200,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n200_seed43_dmax4
random_fof,200,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n200_seed44_dmax4
random_fof,500,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n500_seed42_dmax4
random_fof,500,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n500_seed43_dmax4
random_fof,500,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/random_fof_n500_seed44_dmax4
lfhe,25,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/lfhe_n25_seed42_dmax4
lfhe,25,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/lfhe_n25_seed43_dmax4
